code,name,faculty,facultyCode,url
CDR100,"Clinical practice in diagnostic radiography 100",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CDR%20100
CDR200,"Clinical practice in diagnostic radiography 200",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CDR%20200
CDR300,"Clinical practice in diagnostic radiography 300",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CDR%20300
CDR400,"Clinical practice in diagnostic radiography 400",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CDR%20400
CNT321,"Community nutrition 321",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CNT%20321
CNT411,"Community nutrition 411",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CNT%20411
GNK692,"Community obstetrics 692",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20692
GNK688,"Community-based education 688",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20688
CPM272,"Comprehensive patient management 272",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CPM%20272
CPM371,"Comprehensive patient management 371",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CPM%20371
CPM480,"Comprehensive patient management 480",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CPM%20480
DTT122,"Cultural eating patterns 122",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DTT%20122
RAD380,"Diagnostic imaging 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RAD%20380
RAD480,"Diagnostic imaging 480",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RAD%20480
RAD580,"Diagnostic imaging 580",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RAD%20580
GNK689,"Diagnostic laboratory medicine 689",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20689
RSC100,"Diagnostic radiographic science 100",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RSC%20100
RSC200,"Diagnostic radiographic science 200",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RSC%20200
RSC300,"Diagnostic radiographic science 300",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/RSC%20300
DIR100,"Diagnostic radiography 100",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DIR%20100
DIR200,"Diagnostic radiography 200",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DIR%20200
DIR300,"Diagnostic radiography 300",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DIR%20300
DIR400,"Diagnostic radiography 400",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DIR%20400
DTT310,"Dietetic counselling 310",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DTT%20310
DTT110,"Dietetic profession 110",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DTT%20110
DTT411,"Dietetic profession 411",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DTT%20411
GNK481,"Disorders of childhood 481",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20481
GNK488,"Elective 488",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20488
CMP383,"Emergency care 383",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20383
GNK484,"Endocrinology 484",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20484
SMS211,"Event and facility management 211",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMS%20211
SMC212,"Exercise physiology I 212",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMC%20212
SMC221,"Exercise physiology II 221",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMC%20221
SMC320,"Exercise physiology III 320",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMC%20320
PRC301,"Exercise science practice 301",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/PRC%20301
EXE121,"Exercise science programme development 121",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/EXE%20121
BGN310,"Exercise science programme development II 310",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BGN%20310
GNK691,"Family medicine 691",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20691
VDS232,"Food commodities and preparation 232",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/VDS%20232
GNK482,"Forensic medicine 482",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20482
GNK587,"Forensic medicine morning rotation 587",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20587
FSD170,"Fundamental knowledge and skills in dentistry 170",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/FSD%20170
FSD270,"Fundamental knowledge and skills in dentistry 270",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/FSD%20270
GOM270,"General and oral microbiology 270",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GOM%20270
GPS280,"Generic procedural skills 280",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GPS%20280
GPS370,"Generic procedural skills 370",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GPS%20370
GPS380,"Generic procedural skills 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GPS%20380
